"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"16.06.2024","2.321,51","2.331,27","2.368,77","2.306,66","","-0,47%"
"09.06.2024","2.332,52","2.296,00","2.341,70","2.287,31","","1,74%"
"02.06.2024","2.292,71","2.329,61","2.387,85","2.286,77","","-1,47%"
"26.05.2024","2.326,97","2.334,50","2.364,12","2.321,64","","-0,29%"
"19.05.2024","2.333,76","2.415,02","2.450,13","2.325,40","","-3,36%"
"12.05.2024","2.414,89","2.362,70","2.422,87","2.332,34","","2,32%"
"05.05.2024","2.360,14","2.302,50","2.378,45","2.291,79","","2,55%"
"28.04.2024","2.301,56","2.337,50","2.346,85","2.277,47","","-1,55%"
"21.04.2024","2.337,72","2.388,20","2.388,72","2.291,40","","-2,21%"
"14.04.2024","2.390,45","2.343,86","2.417,79","2.324,59","","2,01%"
"07.04.2024","2.343,43","2.322,00","2.431,53","2.302,86","","0,60%"
"31.03.2024","2.329,50","2.239,59","2.330,34","2.228,54","","4,35%"
"24.03.2024","2.232,38","2.165,79","2.235,90","2.163,50","","3,15%"
"17.03.2024","2.164,15","2.156,00","2.222,90","2.146,05","","0,40%"
"10.03.2024","2.155,54","2.177,71","2.189,04","2.150,59","","-1,01%"
"03.03.2024","2.177,51","2.082,09","2.195,20","2.079,45","","4,52%"
"25.02.2024","2.083,39","2.034,49","2.088,40","2.024,56","","2,34%"
"18.02.2024","2.035,72","2.013,16","2.041,43","2.011,57","","1,12%"
"11.02.2024","2.013,10","2.024,53","2.030,05","1.984,30","","-0,55%"
"04.02.2024","2.024,16","2.039,91","2.044,65","2.014,40","","-0,71%"
"28.01.2024","2.038,59","2.019,40","2.065,42","2.017,38","","1,00%"
"21.01.2024","2.018,34","2.029,90","2.037,92","2.010,15","","-0,53%"
"14.01.2024","2.029,09","2.048,09","2.059,25","2.001,91","","-0,96%"
"07.01.2024","2.048,72","2.044,08","2.062,35","2.013,32","","0,16%"
"31.12.2023","2.045,50","2.062,90","2.079,02","2.024,49","","-0,83%"
"24.12.2023","2.062,58","2.055,73","2.088,54","2.053,59","","0,47%"
"17.12.2023","2.052,98","2.020,09","2.070,65","2.015,99","","1,72%"
"10.12.2023","2.018,19","2.003,60","2.047,98","1.973,09","","0,74%"
"03.12.2023","2.003,39","2.071,25","2.135,90","1.994,74","","-3,26%"
"26.11.2023","2.070,90","2.002,78","2.075,34","2.000,67","","3,42%"
"19.11.2023","2.002,33","1.980,25","2.007,64","1.965,06","","1,13%"
"12.11.2023","1.980,01","1.937,05","1.993,94","1.931,73","","2,23%"
"05.11.2023","1.936,79","1.992,30","1.993,30","1.933,18","","-2,78%"
"29.10.2023","1.992,27","2.004,80","2.007,82","1.969,90","","-0,67%"
"22.10.2023","2.005,78","1.972,90","2.009,48","1.953,50","","1,25%"
"15.10.2023","1.981,04","1.929,30","1.997,27","1.907,65","","2,55%"
"08.10.2023","1.931,70","1.832,74","1.933,76","1.832,63","","5,43%"
